admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,415,
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,417,"VS1, VS2, VS3, VS4"
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,100,"A00, A01, C01, D01, D07, X06, X26"
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,200,"A00, A01, C01, D01, D07, X06, X26"
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,301,TT
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,402,"K00, SP1, SP2, SP3, SP4"
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,415,
7480201_02,An toàn thông tin,7480201,Công nghệ thông tin,50,417,"VS1, VS2, VS3, VS4"
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,100,"A00, A01, C01, D01, D07, X06, X26"
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,200,"A00, A01, C01, D01, D07, X06, X26"
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,301,TT
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,402,"K00, SP1, SP2, SP3, SP4"
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,415,
7480101,Khoa học máy tính,7480101,Khoa học máy tính,100,417,"VS1, VS2, VS3, VS4"
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,100,"A00, A01, C01, D01, D07, X06, X26"
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,200,"A00, A01, C01, D01, D07, X06, X26"
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,301,TT
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,402,"K00, SP1, SP2, SP3, SP4"
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,415,
7460108,Khoa học dữ liệu,7460108,Khoa học dữ liệu,50,417,"VS1, VS2, VS3, VS4"
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,100,"A00, A01, C01, D07, X06"
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,200,"A00, A01, C01, D07, X06"
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,301,TT
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,402,"K00, SP1, SP2, SP3"
7520103,Kỹ thuật cơ khí,7520103,Kỹ thuật cơ khí,100,415,
